[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.uint8'>. Please provide explicit dtype.[0m
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.uint8'>. Please provide explicit dtype.[0m
[33mWARN: <class 'atari_wrapper.FrameStack'> doesn't implement 'reset' method, but it implements deprecated '_reset' method.[0m
23 frames: done 1 games, mean reward 0.0, epsilon 1.0, speed 542.54 frames/s
9495 frames: done 278 games, mean reward 0.433, epsilon 0.89, speed 97.24 frames/s
9516 frames: done 279 games, mean reward 0.433, epsilon 0.89, speed 96.7 frames/s
9539 frames: done 280 games, mean reward 0.433, epsilon 0.89, speed 91.9 frames/s
9562 frames: done 281 games, mean reward 0.433, epsilon 0.89, speed 97.38 frames/s
9585 frames: done 282 games, mean reward 0.433, epsilon 0.89, speed 100.63 frames/s
9608 frames: done 283 games, mean reward 0.367, epsilon 0.89, speed 99.56 frames/s
9631 frames: done 284 games, mean reward 0.367, epsilon 0.89, speed 98.6 frames/s
9654 frames: done 285 games, mean reward 0.367, epsilon 0.89, speed 94.72 frames/s
9677 frames: done 286 games, mean reward 0.367, epsilon 0.89, speed 102.57 frames/s
9698 frames: done 287 games, mean reward 0.333, epsilon 0.89, speed 97.97 frames/s
9721 frames: done 288 games, mean reward 0.333, epsilon 0.89, speed 102.0 frames/s
9742 frames: done 289 games, mean reward 0.333, epsilon 0.89, speed 96.58 frames/s
9765 frames: done 290 games, mean reward 0.333, epsilon 0.89, speed 92.71 frames/s
9788 frames: done 291 games, mean reward 0.333, epsilon 0.89, speed 96.8 frames/s
